Nombre;Género;Edad;Ingreso anual (k$);Puntuación de gasto (1-100)
José María Benavent Pereira;Hombre;19;15;39
Eduardo Blanch-Paz;Hombre;21;15;81
Judith Cordero-Cámara;Mujer;20;16;6
Julieta Villalobos Peláez;Mujer;23;16;77
Lara Mateo;Mujer;31;17;40
Carla Asenjo Santamaría;Mujer;22;17;76
Brígida Barrena Aragón;Mujer;35;18;6
Corona Segura Sánchez;Mujer;23;18;94
Jesús Grau Marco;Hombre;64;19;3
Flavia Carbó-Busquets;Mujer;30;19;72
Jordán Páez Castells;Hombre;67;19;14
Inés Saez Olmo;Mujer;35;19;99
Juliana Boix Guardiola;Mujer;58;20;15
Emilia Céspedes Cortes;Mujer;24;20;77
Gastón Amor Colomer;Hombre;37;20;13
Amancio Quirós Casares;Hombre;22;20;79
Teresita Mirta Pedrero Estrada;Mujer;35;21;35
Graciano Martinez-Pardo;Hombre;20;21;66
Benigno Roda Ramírez;Hombre;52;23;29
Ana Belén Escalona Casanova;Mujer;35;23;98
Cleto Perez Iborra;Hombre;35;24;35
Onofre Clemente Mulet Baños;Hombre;25;24;73
Amaya Rico-Varela;Mujer;46;25;5
Seve Royo Macías;Hombre;31;25;73
Modesta Pedrero Zamorano;Mujer;54;28;14
Eleuterio Suárez Moraleda;Hombre;29;28;82
Encarnita Amador Arias;Mujer;45;28;32
Aarón Barral Vélez;Hombre;35;28;61
Úrsula de Nicolau;Mujer;40;29;31
Dulce Xiomara Pera Caballero;Mujer;23;29;87
Cesar Salvà Bermudez;Hombre;60;30;4
Coral Ponce Egea;Mujer;21;30;73
Mateo Fabregat España;Hombre;53;33;4
Juan Bautista Tenorio Arellano;Hombre;18;33;92
Azahar Núñez Tormo;Mujer;49;33;14
Alondra Guillen Sanabria;Mujer;21;33;81
Alejandra Villalonga Feliu;Mujer;42;34;17
Maura Cases Cabezas;Mujer;30;34;73
Ileana Vallés Alcaraz;Mujer;36;37;26
Zoraida Huertas Teruel;Mujer;20;37;75
Adelina Gil Montero;Mujer;65;38;35
Epifanio Mauricio Miró Noriega;Hombre;24;38;92
Juan Antonio Giner Llano;Hombre;48;39;36
Tecla Portillo Roca;Mujer;31;39;61
Rosa Vicente Busquets;Mujer;49;39;28
